user_id,age,gender,location,device,network,clicks,session_duration,feature_version,feedback_score,retention_flag,data_used_mb
56,39,F,Chikhwawa,Android,TNM,4,276,A,5.0,1,54.15375374326222
57,51,F,Mulanje,Android,Airtel,3,99,A,4.0,1,60.0206668703469
58,56,M,Mzuzu,Android,Airtel,9,352,A,4.0,1,26.27329809557256
59,21,F,Rumphi,Android,Airtel,4,166,B,1.0,0,44.00522846781594
60,62,M,Chikhwawa,Android,Airtel,8,310,A,,1,43.36826751473683
61,42,F,Balaka,Android,Airtel,5,363,B,3.0,0,36.68123034409207
62,54,M,Mangochi,Android,Airtel,6,254,B,4.0,1,85.89115727035576
63,62,F,Dedza,Android,TNM,11,224,A,3.0,1,59.61124214821495
64,58,F,Ntcheu,Android,TNM,2,295,B,5.0,0,20.21213880701388
65,27,M,Ntcheu,Android,Airtel,6,307,B,,1,29.469694011778795
66,34,M,Zomba,Android,Airtel,4,250,B,3.0,1,25.501298996220957
67,37,M,Kasungu,Android,MTL,3,276,A,5.0,0,54.86615328256732
68,44,F,Balaka,Android,TNM,4,272,A,1.0,1,59.13506438307568
69,19,F,Chikhwawa,Android,Airtel,4,254,A,2.0,1,21.384497957639038
70,49,M,Thyolo,Android,Airtel,4,243,A,5.0,1,41.93420996053759
71,61,M,Liwonde,Android,TNM,5,300,A,5.0,0,61.0504817051677
72,31,M,Liwonde,Android,Airtel,8,275,A,5.0,0,93.65014048354175
73,49,F,Kasungu,Android,Airtel,2,199,A,3.0,1,58.726473393480646
74,53,F,Blantyre,Android,Airtel,12,354,A,4.0,1,51.532322109169215
75,31,M,Balaka,Android,TNM,5,254,A,3.0,1,73.45458038518728
76,18,M,Nkhotakota,Android,TNM,4,155,A,3.0,1,55.08347784492404
77,22,M,Kasungu,Android,TNM,6,196,A,4.0,1,62.584979437871695
78,38,M,Salima,Android,Airtel,5,259,B,3.0,1,52.41179867781421
79,31,M,Mwanza,Android,Airtel,6,204,B,,0,63.3681592188473
80,30,F,Rumphi,Android,TNM,4,177,A,4.0,0,61.39900610682765
81,19,M,Liwonde,Android,TNM,4,334,B,4.0,0,70.19634178685268
82,28,M,Zomba,Android,Airtel,7,292,A,3.0,1,55.62382847938751
83,59,M,Ntcheu,Android,Airtel,7,230,A,5.0,1,60.27081416327027
84,43,M,Nkhotakota,Android,Airtel,0,267,B,5.0,1,95.0090953563254
85,61,F,Mzuzu,Android,Airtel,8,298,A,4.0,1,56.19641420454055
86,28,F,Ntcheu,Android,Airtel,5,336,B,4.0,1,38.92823516584011
87,19,F,Ntcheu,Android,TNM,3,227,A,4.0,1,46.049295486060636
88,53,F,Mchinji,Android,TNM,2,162,A,4.0,1,37.421422176226145
89,57,M,Chitipa,Android,TNM,0,143,A,4.0,0,40.01405520856005
90,19,M,Mulanje,Android,Airtel,4,242,B,5.0,1,41.84353827862911
91,59,F,Ntcheu,Android,TNM,2,144,B,4.0,0,0.6291416823138363
92,42,M,Blantyre,Android,TNM,3,435,A,5.0,1,52.40451266868426
93,48,M,Mulanje,Android,Airtel,5,236,B,3.0,1,56.03390269892082
94,45,M,Nkhotakota,Android,TNM,3,228,A,4.0,1,41.78137687401632
95,24,F,Thyolo,Android,Airtel,5,231,A,4.0,0,26.57916291648291
96,38,F,Dedza,Android,Airtel,3,208,A,3.0,1,49.38122005688752
97,51,M,Dedza,Android,Airtel,8,251,B,4.0,1,68.42699205972993
98,41,M,Chitipa,Android,Airtel,2,294,A,4.0,1,74.555045196386
99,57,F,Salima,Android,Airtel,5,317,A,4.0,1,50.69705752783533
100,28,M,Blantyre,Android,TNM,8,437,A,3.0,1,61.868583463872184
101,58,F,Mchinji,Android,Airtel,4,291,B,4.0,1,42.796128107801046
102,32,M,Chikhwawa,iOS,Airtel,3,230,A,3.0,1,56.281059351997186
103,64,M,Kasungu,Android,TNM,3,304,B,5.0,1,54.10053374123758
104,28,F,Nsanje,Android,Airtel,10,295,B,2.0,1,65.95605346098833
105,37,M,Mulanje,Android,Airtel,3,237,B,2.0,0,41.7634769136216
106,39,F,Chitipa,Android,MTL,3,308,A,5.0,1,21.580308778544417
107,50,M,Mulanje,Android,TNM,3,285,A,4.0,1,63.96499827555632
108,36,M,Mulanje,Android,TNM,4,262,B,3.0,1,14.63121268874297
109,58,M,Mangochi,Android,Airtel,3,335,B,4.0,1,40.858074868274564
110,33,F,Mwanza,Android,TNM,2,245,A,4.0,0,57.347310136323564
111,24,M,Balaka,Android,TNM,4,267,B,4.0,1,51.74662115830819
112,34,F,Lilongwe,Android,Airtel,7,324,B,5.0,1,46.716411767589896
113,41,F,Mchinji,Android,Airtel,4,334,B,5.0,1,44.781754677657396
114,44,F,Thyolo,Android,TNM,4,209,B,4.0,0,59.18994612141384
115,27,M,Mchinji,Android,TNM,4,190,A,3.0,1,44.74433222035063
116,54,F,Salima,Android,Airtel,6,378,B,,1,53.65613818410673
117,50,M,Mzuzu,Android,Airtel,10,412,A,,1,34.552604313714
118,38,M,Lilongwe,Android,TNM,12,351,A,4.0,1,43.96230989618896
119,18,F,Nsanje,Android,TNM,4,211,B,4.0,1,60.07636836880362
120,63,M,Blantyre,Android,Airtel,8,413,A,,0,45.17484690762915
121,45,M,Nkhotakota,iOS,TNM,4,265,A,5.0,1,56.33958835546813
122,28,M,Thyolo,Android,TNM,3,255,B,2.0,1,43.93640434331449
123,22,M,Chikhwawa,Android,Airtel,6,272,B,4.0,0,77.86319938179562
124,63,F,Mchinji,Android,TNM,1,231,A,4.0,1,54.8209695421633
125,44,F,Blantyre,Android,TNM,6,414,A,3.0,1,52.86678335212462
126,62,M,Mzuzu,Android,Airtel,2,282,B,1.0,1,48.337888547426104
127,58,F,Ntcheu,Android,TNM,4,295,B,1.0,1,38.363243361659585
128,25,F,Kasungu,Android,TNM,6,306,B,1.0,1,30.420895077854595
129,27,M,Nkhotakota,Android,Airtel,6,230,B,5.0,1,80.11636575279313
130,60,M,Mzuzu,Android,Airtel,6,381,A,4.0,1,45.83766285454921
131,49,M,Mwanza,Android,TNM,8,168,B,3.0,0,36.13626345527162
132,64,M,Dedza,Android,Airtel,3,318,B,4.0,1,77.91367621579911
133,43,M,Zomba,Android,Airtel,4,282,A,1.0,1,50.12844539621876
134,49,M,Mulanje,Android,Airtel,7,250,B,4.0,1,58.95433851620555
135,28,F,Mchinji,Android,TNM,3,195,A,4.0,1,32.69921547302014
136,44,F,Chitipa,Android,Airtel,6,382,B,2.0,1,19.940593432096936
137,44,M,Balaka,Android,TNM,8,212,B,,1,36.924673227023604
138,64,F,Mulanje,Android,Airtel,7,249,A,4.0,1,70.07133120366571
139,20,F,Karonga,Android,TNM,4,230,A,5.0,1,67.13234209251355
140,28,M,Mangochi,Android,TNM,4,177,B,2.0,1,17.348831940158135
141,48,M,Balaka,Android,TNM,4,248,B,4.0,1,35.808554140935506
142,27,F,Liwonde,Android,TNM,5,256,B,4.0,0,70.07419047621354
143,32,M,Ntcheu,Android,TNM,4,209,B,4.0,1,68.71763112543431
144,53,F,Zomba,iOS,Airtel,4,307,A,5.0,1,53.792562466109054
145,50,M,Kasungu,Android,TNM,4,282,B,3.0,1,42.79935770690279
146,24,F,Nkhotakota,Android,TNM,4,316,B,3.0,1,62.61631698289238
147,61,M,Mchinji,Android,Airtel,4,214,B,3.0,1,72.50869568829539
148,53,F,Ntcheu,Android,TNM,3,182,A,5.0,1,27.323688098262338
149,44,F,Mchinji,Android,Airtel,4,234,A,3.0,1,43.278520276999274
150,62,M,Salima,Android,Airtel,8,273,A,3.0,1,73.0647715709048
151,24,M,Mchinji,Android,TNM,6,195,B,2.0,1,37.672771839210455
152,55,F,Rumphi,Android,Airtel,6,203,B,2.0,1,46.88357051341794
153,61,F,Dedza,KaiOS,TNM,3,187,B,3.0,1,44.6669534153117
154,61,F,Zomba,Android,TNM,6,263,B,4.0,1,50.827581051716955
155,26,F,Mchinji,Android,Airtel,4,327,B,5.0,0,57.1122669757132
156,20,M,Karonga,Android,TNM,4,423,B,4.0,1,20.731880831466228
157,22,M,Nkhotakota,Android,TNM,4,182,A,,1,50.651511548171236
158,36,F,Nkhotakota,Android,TNM,8,275,A,3.0,1,23.48980176635187
159,40,M,Blantyre,Android,TNM,4,460,A,4.0,1,40.39245018039356
160,39,F,Chitipa,iOS,Airtel,3,254,B,4.0,1,45.5975263942006
161,33,M,Ntcheu,Android,TNM,7,326,A,5.0,1,15.597948981043636
162,18,F,Mangochi,Android,MTL,1,175,A,3.0,0,66.06730097642325
163,20,M,Chikhwawa,Android,TNM,4,286,A,4.0,1,27.722938007977334
164,31,F,Lilongwe,Android,TNM,4,402,B,4.0,1,43.5352407095582
165,61,M,Zomba,Android,TNM,5,264,B,3.0,1,54.59852935786861
166,22,M,Dedza,Android,Airtel,3,170,B,4.0,0,58.173056229613415
167,37,F,Mulanje,Android,Airtel,3,281,A,5.0,0,46.93031442088287
168,58,M,Nsanje,Android,Airtel,4,328,B,4.0,1,37.73278374963434
169,37,M,Chitipa,Android,TNM,4,340,B,3.0,1,37.44233571116421
170,38,M,Chitipa,Android,TNM,3,359,B,4.0,0,30.44875749054626
171,38,F,Mzuzu,Android,Airtel,9,382,A,4.0,0,46.512914841943285
172,50,M,Balaka,Android,Airtel,4,273,A,4.0,1,61.358834861502636
173,25,M,Thyolo,Android,TNM,7,297,B,4.0,1,67.74581674533485
174,30,M,Dedza,Android,Airtel,8,229,A,5.0,0,67.19175773959604
175,64,F,Mulanje,Android,Airtel,3,293,A,3.0,1,56.80102589137781
176,62,M,Chitipa,Android,TNM,7,244,B,5.0,1,32.97187131479373
177,47,M,Lilongwe,Android,TNM,7,392,A,3.0,0,84.89278346517364
178,60,F,Salima,Android,Airtel,3,220,B,4.0,1,36.03022408552613
179,24,M,Ntcheu,Android,TNM,5,213,B,,1,41.837983216795585
180,31,M,Karonga,Android,Airtel,9,237,A,1.0,1,36.5305295469842
181,57,F,Balaka,Android,TNM,1,254,A,3.0,1,38.23527080824634
182,28,F,Nsanje,Android,Airtel,4,226,A,4.0,1,5.888678858018615
183,45,M,Karonga,Android,TNM,8,307,B,5.0,1,80.52372634723324
184,47,F,Blantyre,Android,TNM,8,305,B,4.0,0,34.30476183744593
185,39,M,Karonga,Android,TNM,8,299,A,,1,24.273317066341033
186,23,M,Mwanza,Android,Airtel,4,303,B,4.0,1,57.11778755108638
187,30,M,Mwanza,Android,Airtel,7,373,B,4.0,1,26.473934861534623
188,20,F,Mzuzu,Android,TNM,3,411,B,,1,71.81960850371934
189,55,F,Nsanje,Android,Airtel,6,309,B,4.0,1,60.98631289116457
190,18,M,Zomba,Android,Airtel,3,156,B,5.0,0,29.560517792184076
191,25,M,Dedza,Android,TNM,8,274,A,3.0,1,45.910575580277566
192,64,F,Ntcheu,Android,TNM,7,227,B,2.0,1,37.269485536487956
193,49,M,Liwonde,Android,MTL,5,223,B,,1,49.23577945057358
194,49,F,Mulanje,Android,TNM,3,219,B,2.0,1,24.07766671500211
195,40,M,Mchinji,Android,Airtel,4,204,B,2.0,1,27.47816182345567
196,61,F,Mchinji,Android,Airtel,8,337,B,2.0,1,48.505116636996675
197,45,M,Mzuzu,Android,TNM,15,368,B,4.0,1,54.594220336045936
198,56,F,Nsanje,Android,TNM,7,262,B,2.0,1,16.631224921947435
199,30,M,Balaka,Android,TNM,3,289,A,4.0,1,53.63218132507019
200,36,F,Salima,Android,Airtel,4,227,B,2.0,0,27.799928562281465
201,29,F,Balaka,Android,TNM,2,181,A,3.0,1,43.97005272958253
202,62,F,Kasungu,Android,TNM,5,225,A,3.0,0,46.67557030579699
203,60,M,Ntcheu,Android,TNM,3,154,B,3.0,1,60.66801702475124
204,25,F,Mchinji,Android,Airtel,3,256,A,3.0,1,54.5940149433571
205,20,M,Chitipa,Android,TNM,3,192,B,4.0,1,67.07617124618137
206,38,M,Mzuzu,Android,Airtel,7,504,B,4.0,1,41.28362045667537
207,61,F,Mwanza,Android,TNM,3,299,B,4.0,1,52.11507582542961
208,62,M,Kasungu,Android,Airtel,1,278,B,3.0,1,60.12733955052509
209,42,F,Nsanje,Android,Airtel,8,228,B,3.0,1,41.60273077827361
210,62,F,Thyolo,Android,Airtel,5,252,B,5.0,1,32.97259099374378
211,35,M,Mangochi,Android,TNM,4,136,A,3.0,1,36.83503175332304
212,60,F,Karonga,Android,TNM,4,225,B,4.0,1,12.845602772845773
213,48,M,Blantyre,Android,MTL,4,391,A,3.0,1,19.653875686430137
214,46,M,Chikhwawa,Android,TNM,3,245,B,1.0,1,48.221605989624756
215,20,F,Mangochi,Android,TNM,4,279,A,3.0,0,44.388466441103816
216,26,M,Nkhotakota,Android,Airtel,6,143,A,4.0,1,22.665365330341874
217,27,M,Blantyre,Android,TNM,6,459,B,2.0,0,83.1081422617659
218,43,F,Chikhwawa,Android,Airtel,2,164,A,4.0,1,76.36604649705339
219,24,M,Salima,Android,Airtel,0,372,A,4.0,0,76.00626384271185
220,31,F,Mwanza,Android,Airtel,2,186,A,3.0,1,67.14661531121236
221,35,M,Mwanza,Android,Airtel,4,217,B,3.0,1,23.08833199790068
222,40,F,Nsanje,Android,TNM,6,237,A,2.0,1,73.64705688183568
223,56,F,Thyolo,Android,TNM,8,310,B,5.0,0,54.19426598394734
224,61,M,Zomba,Android,Airtel,3,218,B,2.0,0,66.60383623725221
225,59,M,Liwonde,Android,TNM,2,207,A,2.0,0,43.120478571324085
226,37,M,Blantyre,Android,TNM,7,361,B,4.0,1,49.54844117811164
227,35,M,Kasungu,Android,TNM,3,290,A,5.0,1,7.8647581720100845
228,31,M,Chitipa,Android,TNM,7,245,B,5.0,0,60.872158549602595
229,30,F,Salima,Android,Airtel,7,200,A,4.0,1,53.560614693587446
230,52,F,Mwanza,Android,Airtel,3,324,A,3.0,1,0.24382686929840958
231,55,M,Chitipa,Android,TNM,5,240,B,3.0,1,76.59993675093314
232,56,F,Chitipa,Android,Airtel,4,300,A,3.0,1,34.92172941266711
233,60,F,Mchinji,Android,TNM,5,304,B,,1,64.98087889052078
234,53,M,Lilongwe,Android,Airtel,12,373,A,2.0,1,76.80565140667981
235,55,M,Nsanje,Android,TNM,1,328,A,3.0,0,79.63031585683166
236,60,F,Zomba,Android,Airtel,3,246,A,2.0,0,51.539079804510905
237,54,M,Zomba,iOS,TNM,4,263,B,5.0,0,70.3877195392042
238,47,F,Kasungu,Android,TNM,6,276,B,1.0,1,0.0
239,55,M,Mchinji,Android,Airtel,4,296,B,5.0,1,54.15605014706627
240,40,F,Kasungu,Android,TNM,8,194,B,3.0,1,55.854309642837066
241,38,M,Chitipa,Android,Airtel,6,250,B,3.0,1,22.15220944432626
242,30,M,Rumphi,Android,TNM,11,309,A,2.0,1,68.43406970200706
243,56,M,Mwanza,Android,Airtel,4,258,A,5.0,1,59.81657001236191
244,41,M,Mchinji,Android,MTL,4,258,A,5.0,1,51.0239580376217
245,40,F,Mulanje,Android,TNM,5,317,B,,0,5.663623212918708
246,60,M,Mulanje,Android,TNM,4,300,A,3.0,0,71.15737055349476
247,43,M,Chikhwawa,Android,Airtel,4,229,A,5.0,0,80.45961103819909
248,52,M,Mzuzu,Android,TNM,6,335,A,2.0,1,43.7729714644795
249,26,F,Chitipa,Android,Airtel,4,277,A,3.0,1,74.42262157052987
250,35,M,Nsanje,Android,TNM,3,259,A,4.0,1,24.129847495918085
251,46,F,Blantyre,Feature Phone,TNM,4,521,A,5.0,0,65.08151866316179
252,24,M,Nsanje,Android,Airtel,4,293,B,4.0,1,34.182012366648934
253,28,F,Rumphi,Android,Airtel,7,161,A,3.0,0,50.938698041207395
254,35,M,Salima,Android,TNM,7,208,A,5.0,1,49.29984779987528
255,31,M,Mangochi,Android,TNM,6,303,A,5.0,1,37.69624648568786
256,28,F,Nkhotakota,Android,Airtel,6,253,B,3.0,1,49.1562059907893
257,32,M,Rumphi,Android,TNM,7,181,A,4.0,1,67.95515797430312
258,35,M,Blantyre,Android,Airtel,7,397,B,2.0,1,16.516286023721932
259,60,M,Ntcheu,Android,TNM,4,279,B,3.0,1,71.395429099677
260,26,F,Blantyre,Android,Airtel,2,198,B,5.0,1,23.03905776119666
261,58,F,Liwonde,Android,Airtel,4,297,A,5.0,1,70.02937251068278
262,35,F,Karonga,Android,Airtel,6,229,B,,1,50.82914242268178
263,23,M,Chitipa,Android,Airtel,1,187,A,3.0,0,39.657258391024754
264,35,M,Mwanza,Android,Airtel,5,221,A,5.0,0,43.76025982703992
265,18,F,Kasungu,Android,TNM,2,264,A,5.0,0,76.06556074632127
266,19,M,Chitipa,Android,Airtel,7,197,B,4.0,1,53.189250136082585
267,53,M,Balaka,Android,TNM,3,249,A,5.0,0,58.24218322040573
268,58,M,Karonga,Android,TNM,2,181,A,2.0,1,59.618161854977906
269,58,F,Mwanza,Android,TNM,2,302,A,4.0,1,22.56513741472989
270,60,M,Kasungu,Android,Airtel,3,309,A,4.0,0,54.76961622727862
271,38,M,Chikhwawa,Android,Airtel,4,335,B,4.0,1,62.529808030211164
272,60,M,Balaka,Android,Airtel,2,384,A,5.0,0,51.293888781927414
273,43,M,Ntcheu,Android,TNM,6,309,B,4.0,1,31.277014214581833
274,37,M,Mwanza,Android,Airtel,3,220,A,3.0,1,75.83270453520893
275,53,M,Mwanza,Android,Airtel,7,206,A,3.0,0,47.06882928616642
276,24,F,Salima,Android,Airtel,8,180,B,2.0,1,70.51835971438555
277,38,F,Salima,Android,TNM,4,263,B,3.0,1,13.312173874388343
278,29,M,Lilongwe,Android,TNM,4,425,B,5.0,1,60.86912921908212
279,53,M,Dedza,Android,Airtel,4,229,A,4.0,1,20.302242035122255
280,34,F,Mangochi,Android,Airtel,6,156,B,3.0,0,43.594043909267164
281,43,M,Liwonde,Android,Airtel,5,236,A,3.0,1,72.39580701480375
282,47,M,Salima,Android,TNM,4,194,B,,1,76.3456561555517
283,43,F,Kasungu,Android,Airtel,5,297,B,4.0,1,49.39194466939003
284,33,M,Mchinji,Android,TNM,3,278,A,4.0,0,53.89684680540276
285,28,F,Zomba,iOS,MTL,5,237,A,3.0,1,29.194994660183898
286,45,M,Lilongwe,Android,TNM,8,275,B,2.0,1,32.01251745690692
287,27,M,Chitipa,Android,Airtel,4,288,A,3.0,0,54.03088003598843
288,53,F,Blantyre,Android,TNM,0,167,B,4.0,1,15.813806094179093
289,44,F,Ntcheu,Android,TNM,4,213,A,3.0,1,21.528587156377448
290,51,F,Dedza,Android,Airtel,4,216,B,4.0,1,71.77393117235391
291,37,M,Chikhwawa,iOS,Airtel,4,133,A,4.0,1,58.40306587972572
292,19,M,Blantyre,KaiOS,Airtel,6,349,A,5.0,1,30.67507360493492
293,55,M,Salima,Android,TNM,3,251,A,4.0,1,27.841166581700083
294,38,F,Kasungu,Android,Airtel,5,302,A,,0,52.357173044950954
295,40,M,Chikhwawa,Android,Airtel,3,228,B,4.0,1,44.83838580271898
296,24,F,Rumphi,Android,Airtel,4,217,B,5.0,1,63.74930579538971
297,32,M,Nkhotakota,Android,Airtel,6,180,B,3.0,1,26.410806709844394
298,56,F,Rumphi,Android,Airtel,3,314,B,4.0,1,50.9082234623528
299,19,F,Mchinji,Android,Airtel,4,298,B,2.0,0,59.921769925851294
300,32,F,Liwonde,KaiOS,Airtel,4,252,B,4.0,1,57.27941261705476
301,20,M,Mzuzu,iOS,Airtel,7,373,A,3.0,1,74.10191306900057
302,36,M,Mulanje,Android,TNM,2,335,A,4.0,1,35.63038960480217
303,52,F,Ntcheu,Feature Phone,TNM,4,203,A,3.0,1,59.9637228451231
304,50,M,Liwonde,Android,TNM,5,310,A,3.0,1,99.97734772331573
305,58,M,Mangochi,Android,Airtel,3,169,A,4.0,1,40.984957816697
306,50,M,Ntcheu,Android,Airtel,4,255,B,2.0,1,38.638142208465176
307,45,F,Kasungu,Android,TNM,4,142,A,2.0,0,90.8413930585576
308,56,F,Chitipa,Android,Airtel,5,212,B,1.0,1,68.93856936714113
309,19,F,Mzuzu,Android,Airtel,8,374,A,4.0,1,66.93764207769829
310,62,F,Chikhwawa,Android,Airtel,4,150,A,4.0,0,43.29801042401531
311,24,M,Lilongwe,Android,TNM,10,371,B,5.0,0,60.64822632086062
312,40,M,Karonga,Android,Airtel,4,232,A,3.0,1,40.28931922721004
313,44,F,Nkhotakota,Android,Airtel,8,203,A,5.0,1,71.8915164090865
314,28,M,Thyolo,Android,Airtel,6,198,A,1.0,1,55.71606573589466
315,28,F,Blantyre,Android,TNM,2,224,B,3.0,0,68.37101647587329
316,43,M,Ntcheu,iOS,Airtel,0,90,B,3.0,1,44.16957378165008
317,18,M,Chitipa,Android,Airtel,4,281,B,5.0,1,103.84757175293942
318,56,M,Mchinji,Android,Airtel,2,221,A,4.0,0,36.23129112111492
319,64,F,Karonga,Android,Airtel,1,349,B,5.0,1,43.09062705719855
320,62,M,Kasungu,Android,Airtel,2,289,B,3.0,0,48.414066849431066
321,42,F,Nsanje,Android,Airtel,4,295,B,3.0,0,53.15915205561908
322,43,M,Nkhotakota,Android,Airtel,4,224,B,5.0,0,62.36872621197539
323,30,F,Rumphi,Android,TNM,1,298,B,3.0,1,63.90279791808721
324,29,M,Liwonde,Android,TNM,4,276,A,2.0,0,76.20383816161794
325,25,F,Balaka,iOS,TNM,4,243,A,4.0,0,70.7303116700887
326,22,F,Chikhwawa,Android,TNM,4,217,A,4.0,0,10.391315408679588
327,55,M,Rumphi,Android,TNM,4,289,B,2.0,0,41.997183164283506
328,19,F,Nsanje,iOS,TNM,8,243,A,3.0,0,47.79782631487868
329,19,M,Nkhotakota,Android,Airtel,8,213,B,,1,46.17140061534899
330,19,M,Chitipa,Feature Phone,TNM,3,270,A,,1,37.84519719667888
331,18,M,Chikhwawa,iOS,Airtel,1,268,B,4.0,1,66.1943653017569
332,56,F,Lilongwe,Android,MTL,8,393,A,2.0,0,26.44777984376454
333,42,M,Rumphi,Android,Airtel,4,218,A,4.0,0,49.961887340224855
334,37,M,Mzuzu,Android,TNM,6,439,A,4.0,1,37.51203439492842
335,49,F,Mulanje,Android,TNM,4,230,A,4.0,1,55.89942911417643
336,34,M,Chikhwawa,Android,Airtel,4,256,B,4.0,1,30.50386848154316
337,27,F,Liwonde,Android,TNM,7,380,A,4.0,0,74.97583801099117
338,41,M,Mangochi,Android,Airtel,4,216,B,3.0,1,38.28248346104102
339,57,M,Thyolo,Android,Airtel,8,209,B,4.0,1,31.63769655130962
340,45,M,Chikhwawa,Feature Phone,TNM,3,266,B,4.0,1,84.95109815246526
341,55,F,Rumphi,Android,Airtel,4,246,A,2.0,1,32.36206756913731
342,61,M,Chikhwawa,Android,TNM,5,223,A,4.0,0,58.31101482948462
343,19,F,Blantyre,Android,Airtel,6,397,A,3.0,0,69.69110581928345
344,64,M,Salima,Android,Airtel,2,254,B,2.0,1,49.43184275413671
345,52,F,Liwonde,Android,Airtel,0,258,A,5.0,1,69.43219126502774
346,51,M,Kasungu,Android,TNM,4,241,A,1.0,0,50.79715083169945
347,36,F,Nsanje,Android,TNM,2,66,B,5.0,0,50.4833230410038
348,27,M,Salima,Android,TNM,5,231,B,5.0,0,29.85500283088077
349,64,M,Nkhotakota,Android,TNM,5,189,B,3.0,1,75.66758330093302
350,24,F,Mzuzu,Feature Phone,TNM,9,380,A,4.0,1,60.06180737247494
